Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
4160368407,"Oct 6, 2020, 6:47:53 PM",Quick little hike,Hike,,5391,4.32,,,false,,,activities/4160368407.gpx,,,5391.0,3930.0,4320.0,2.3,1.099,168.7,214.8,966.5,1129.2,49.4,-1.1,,,,,,,,,,,,,,,,,,2.0,,,,,0.0,18.0,0.0,,1.0,,1602007168.0,2.0,17.6,17.6,6.2,0.47,1016.4,2.5,6.2,191.0,0.0,1601991936.0,1602032768.0,0.66,,,0.0,,0.38,16093.0,3.0,262.1,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4186811695,"Oct 12, 2020, 7:29:41 PM",Mondayyy,Run,,1292,3.84,,,false,,,activities/4186811695.gpx,,,1292.0,981.0,3843.6,5.9,3.918,11.1,11.0,30.4,39.4,3.0,0.0,,,,,,,,,,,,,,,,,,5.0,,,,,0.0,17.0,0.0,,1.0,3850.8,1602529152.0,2.0,13.4,13.4,7.9,0.69,1022.2,3.2,5.2,196.0,0.0,1602512640.0,1602552448.0,0.86,,,0.0,,0.65,16093.0,3.0,284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4196437605,"Oct 15, 2020, 12:31:48 AM",Tuesday hills and trails,Run,Slippery yo,2117,5.76,,,false,,,activities/4196437605.gpx,,,2117.0,1671.0,5766.0,5.6,3.451,114.0,57.8,58.7,164.0,33.3,1.0,,,,,,,,,,,,,,,,,,5.0,,,,,0.0,30.0,0.0,,1.0,6203.9,1602720000.0,2.0,14.2,14.2,8.9,0.71,1030.5,1.5,3.4,308.0,0.0,1602685696.0,1602724864.0,0.93,,,0.0,,0.6,14065.0,0.0,270.9,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4202662859,"Oct 16, 2020, 3:09:31 PM",Friday by the ocean,Run,,1365,5.15,,,false,,,activities/4202662859.gpx,,,1365.0,1269.0,5154.9,5.5,4.062,10.0,123.0,2.6,116.8,4.9,-2.2,,,,,,,,,,,,,,,,,,4.0,,,,,0.0,14.0,0.0,,1.0,4983.2,1602860416.0,2.0,11.3,11.3,7.4,0.77,1022.7,4.3,8.7,169.0,0.0,1602858752.0,1602897664.0,0.01,,,0.0,,0.68,16093.0,0.0,251.6,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4213490014,"Oct 18, 2020, 7:02:11 PM",Sunday issaquah walkin’,Walk,,3614,4.15,,,false,,,activities/4213490014.gpx,,,3614.0,3307.0,4150.9,4.1,1.255,45.4,28.1,27.4,69.5,36.5,0.4,,,,,,,,,,,,,,,,,,1.0,,,,,0.0,7.0,0.0,,1.0,,1603047552.0,3.0,13.8,13.8,12.7,0.93,1015.7,2.8,7.9,188.0,0.0,1603031680.0,1603070080.0,0.09,,,0.0,,0.98,10688.0,2.0,250.4,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4217897241,"Oct 19, 2020, 10:40:21 PM",Monday Lake Wilderness ,Run,Left knee is straight up not having a good time,2827,7.92,,,false,,,activities/4217897241.gpx,,,2827.0,2013.0,7927.0,7.4,3.938,46.6,46.7,101.2,148.0,15.5,0.0,,,,,,,,,,,,,,,,,,5.0,,,,,0.0,36.0,0.0,,1.0,7976.5,1603144832.0,2.0,13.6,13.6,9.5,0.76,1020.8,3.0,6.2,227.0,0.0,1603118080.0,1603156352.0,0.13,,,0.0,,0.81,16093.0,2.0,226.3,,,,,,,,,,,,,,,,,,,,,,,,,,,media/F0532232-BBAD-4544-8390-60966EB81765.jpg
4226567548,"Oct 21, 2020, 11:02:06 PM",Wednesday my dudes,Run,"Good job, James.",2916,10.39,,,false,,,activities/4226567548.gpx,,,2916.0,2605.0,10390.7,6.3,3.989,33.0,31.8,64.4,97.7,3.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,10412.1,1603321216.0,2.0,10.4,10.4,6.2,0.75,1021.7,2.0,3.4,340.0,0.0,1603291136.0,1603329024.0,0.2,,,0.0,,0.5,16093.0,1.0,280.4,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4242441657,"Oct 25, 2020, 3:02:03 PM",First  🥶 run of the season,Run,,1249,5.05,,,false,,,activities/4242441657.gpx,,,1249.0,1246.0,5053.6,5.1,4.056,7.6,117.0,2.7,115.8,2.8,-2.2,,,,,,,,,,,,,,,,,,3.0,,,,,0.0,10.0,0.0,,1.0,4874.8,1603638016.0,1.0,-0.3,-3.3,-5.6,0.68,1035.7,2.5,3.8,13.0,0.0,1603637120.0,1603674240.0,0.33,,,0.0,,0.01,16093.0,0.0,278.8,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4256437864,"Oct 28, 2020, 10:49:18 PM",Preston to Issy,Run,,1490,5.85,,,false,,,activities/4256437864.gpx,,,1490.0,1440.0,5858.2,5.7,4.068,2.2,96.5,57.4,152.5,2.3,-1.6,,,,,,,,,,,,,,,,,,5.0,,,,,0.0,26.0,0.0,,1.0,5678.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4256575426,"Oct 28, 2020, 11:22:02 PM",Cool down,Walk,,2282,2.94,,,false,,,activities/4256575426.gpx,,,2282.0,2125.0,2940.8,2.6,1.384,13.3,12.3,28.4,39.5,13.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
